,trip_id,scheduled_departure,transport_type,origin_station,destination_station,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,peak_hour
16,T00016,2023-01-01 09:00:00,Metro,Station_44,Station_43,26,Storm,-11.3,32.0,82.0,7.2,Festival,0
17,T00017,2023-01-01 09:15:00,Metro,Station_29,Station_17,15,Fog,27.1,58.0,27.0,,No Event,0
18,T00018,2023-01-01 09:30:00,Metro,Station_28,Station_32,-4,Clear,32.9,95.0,12.0,1.4209224140911523,No Event,0
19,T00019,2023-01-01 09:45:00,Tram,Station_11,Station_4,18,Clear,-3.7,93.0,28.0,1.0492650971670876,Festival,0
20,T00020,2023-01-01 10:00:00,Train,Station_1,Station_4,4,Clear,-3.2,57.0,7.0,1.5196748331671075,Concert,0
21,T00021,2023-01-01 10:15:00,Bus,Station_43,Station_17,16,Clear,8.8,65.0,10.0,-3.9893118777443384,No Event,0
22,T00022,2023-01-01 10:30:00,Train,Station_19,Station_41,15,Cloudy,-5.5,35.0,46.0,2.325999166334803,No Event,0
23,T00023,2023-01-01 10:45:00,Metro,Station_9,Station_19,24,Snow,3.1999999999999993,35.0,44.0,12.1,Festival,0
24,T00024,2023-01-01 11:00:00,Metro,Station_27,Station_5,14,Snow,13.100000000000001,61.0,17.0,22.6,Festival,0
25,T00025,2023-01-01 11:15:00,Train,Station_34,Station_32,-13,Cloudy,14.7,63.0,49.0,2.375426022160122,No Event,0
26,T00026,2023-01-01 11:30:00,Train,Station_44,Station_22,-12,Clear,2.9,96.0,24.0,0.44623198548271825,No Event,0
27,T00027,2023-01-01 11:45:00,Train,Station_4,Station_6,16,Storm,16.2,75.0,78.0,17.9,No Event,0
28,T00028,2023-01-01 12:00:00,Metro,Station_36,Station_35,14,Fog,22.4,58.0,21.0,2.189324353258416,No Event,0
29,T00029,2023-01-01 12:15:00,Metro,Station_18,Station_22,-5,Snow,21.299999999999997,85.0,44.0,25.1,Sports,0
30,T00030,2023-01-01 12:30:00,Bus,Station_15,Station_1,-3,Rain,-4.1,83.0,34.0,16.7,No Event,0
31,T00031,2023-01-01 12:45:00,Bus,Station_13,Station_20,23,Fog,22.7,98.0,28.0,,Sports,0
32,T00032,2023-01-01 13:00:00,Metro,Station_19,Station_22,4,Rain,24.5,38.0,20.0,12.1,Concert,0
33,T00033,2023-01-01 13:15:00,Train,Station_49,Station_48,-9,Rain,10.1,39.0,55.0,,Sports,0
34,T00034,2023-01-01 13:30:00,Train,Station_6,Station_11,8,Clear,9.5,97.0,6.0,1.3115575478089274,Festival,0
35,T00035,2023-01-01 13:45:00,Bus,Station_48,Station_13,27,Rain,-3.2,87.0,11.0,13.4,No Event,0
36,T00036,2023-01-01 14:00:00,Metro,Station_12,Station_42,11,Clear,29.7,81.0,35.0,1.2681601704605208,No Event,0
37,T00037,2023-01-01 14:15:00,Bus,Station_37,Station_3,11,Cloudy,8.8,63.0,23.0,-1.676403768653894,Concert,0
38,T00038,2023-01-01 14:30:00,Bus,Station_17,Station_9,9,Storm,24.0,64.0,,28.0,Protest,0
39,T00039,2023-01-01 14:45:00,Tram,Station_23,Station_12,3,Rain,22.9,62.0,26.0,17.4,No Event,0
40,T00040,2023-01-01 15:00:00,Tram,Station_26,Station_23,-7,Storm,0.09999999999999964,61.0,50.0,18.1,Protest,0
41,T00041,2023-01-01 15:15:00,Tram,Station_29,Station_14,8,Clear,18.0,84.0,58.0,-1.8187352209065102,No Event,0
42,T00042,2023-01-01 15:30:00,Train,Station_33,Station_33,19,Rain,-7.9,37.0,31.0,16.9,No Event,0
43,T00043,2023-01-01 15:45:00,Metro,Station_27,Station_18,-7,Fog,5.5,75.0,31.0,-2.3944923042983266,No Event,0
44,T00044,2023-01-01 16:00:00,Metro,Station_25,Station_49,-1,Cloudy,20.4,43.0,25.0,4.946981588116625,Parade,0
45,T00045,2023-01-01 16:15:00,Metro,Station_10,Station_41,19,Snow,12.100000000000001,32.0,10.0,12.8,No Event,0
46,T00046,2023-01-01 16:30:00,Metro,Station_47,Station_9,12,Cloudy,5.1,83.0,45.0,0.30953340532464235,No Event,0
47,T00047,2023-01-01 16:45:00,Tram,Station_23,Station_23,3,Rain,22.3,50.0,17.0,21.9,Parade,0
48,T00048,2023-01-01 17:00:00,Train,Station_21,Station_10,-5,Cloudy,2.4000000000000004,43.0,38.0,1.4640574217126332,Sports,0
49,T00049,2023-01-01 17:15:00,Train,Station_21,Station_19,9,Snow,2.5,25.0,4.0,10.1,Protest,0
50,T00050,2023-01-01 17:30:00,Tram,Station_43,Station_47,6,Fog,13.9,90.0,15.0,2.8664937493162856,No Event,0
51,T00051,2023-01-01 17:45:00,Train,Station_13,Station_5,12,Storm,2.5999999999999996,46.0,39.0,29.7,No Event,0
52,T00052,2023-01-01 18:00:00,Tram,Station_37,Station_47,-1,Fog,33.2,77.0,53.0,1.0257476521722202,No Event,1
53,T00053,2023-01-01 18:15:00,Metro,Station_33,Station_23,1,Cloudy,19.9,37.0,34.0,-1.1521567865305014,Sports,1
54,T00054,2023-01-01 18:30:00,Tram,Station_24,Station_30,5,Snow,5.600000000000001,80.0,47.0,15.1,Concert,1
55,T00055,2023-01-01 18:45:00,Metro,Station_44,Station_25,32,Storm,7.4,46.0,33.0,20.8,Concert,1
56,T00056,2023-01-01 19:00:00,Metro,Station_11,Station_28,2,Snow,-9.6,92.0,41.0,20.0,Sports,0
57,T00057,2023-01-01 19:15:00,Bus,Station_17,Station_34,24,Fog,9.9,41.0,22.0,0.8399382861276123,No Event,0
58,T00058,2023-01-01 19:30:00,Tram,Station_4,Station_45,6,Clear,21.9,67.0,54.0,1.7826435699198215,Concert,0
59,T00059,2023-01-01 19:45:00,Bus,Station_47,Station_48,-8,Clear,32.0,47.0,,-0.10808435169963637,No Event,0
60,T00060,2023-01-01 20:00:00,Tram,Station_25,Station_47,10,Storm,18.7,55.0,75.0,23.7,No Event,0
61,T00061,2023-01-01 20:15:00,Tram,Station_30,Station_25,9,Storm,1.0,66.0,39.0,13.5,No Event,0
62,T00062,2023-01-01 20:30:00,Bus,Station_9,Station_10,43,Storm,7.4,99.0,29.0,14.1,Sports,0
63,T00063,2023-01-01 20:45:00,Bus,Station_21,Station_14,18,Clear,-1.7,70.0,17.0,0.030522593995556457,Festival,0
64,T00064,2023-01-01 21:00:00,Tram,Station_20,Station_42,6,Fog,-0.9,71.0,,6.272917960053392,No Event,0
65,T00065,2023-01-01 21:15:00,Train,Station_19,Station_46,24,Storm,10.8,70.0,34.0,24.9,No Event,0
66,T00066,2023-01-01 21:30:00,Metro,Station_19,Station_30,8,Clear,16.2,76.0,58.0,0.39800221854017015,No Event,0
67,T00067,2023-01-01 21:45:00,Bus,Station_12,Station_41,-2,Storm,-0.40000000000000036,43.0,43.0,27.1,Festival,0
68,T00068,2023-01-01 22:00:00,Metro,Station_37,Station_25,10,Storm,12.7,30.0,24.0,31.9,Concert,0
69,T00069,2023-01-01 22:15:00,Train,Station_42,Station_14,18,Snow,9.100000000000001,41.0,58.0,14.0,Parade,0
70,T00070,2023-01-01 22:30:00,Train,Station_17,Station_35,19,Storm,2.0,,72.0,20.5,Festival,0
71,T00071,2023-01-01 22:45:00,Train,Station_37,Station_48,14,Clear,25.3,82.0,23.0,0.7069850222760081,No Event,0
72,T00072,2023-01-01 23:00:00,Bus,Station_48,Station_34,-1,Fog,3.2,60.0,2.0,4.545561823498763,No Event,0
73,T00073,2023-01-01 23:15:00,Train,Station_39,Station_10,19,Clear,16.8,91.0,37.0,4.285940142402913,No Event,0
74,T00074,2023-01-01 23:30:00,Bus,Station_28,Station_35,24,Clear,27.2,37.0,1.0,2.2487059438902457,No Event,0
75,T00075,2023-01-01 23:45:00,Train,Station_41,Station_11,1,Storm,10.5,59.0,56.0,39.6,No Event,0
76,T00076,2023-01-02 00:00:00,Metro,Station_35,Station_11,23,Snow,21.3,91.0,16.0,25.5,No Event,0
77,T00077,2023-01-02 00:15:00,Metro,Station_47,Station_21,9,Rain,-7.7,74.0,8.0,25.5,Concert,0
78,T00078,2023-01-02 00:30:00,Tram,Station_48,Station_21,16,Rain,14.5,47.0,35.0,19.3,No Event,0
79,T00079,2023-01-02 00:45:00,Metro,Station_18,Station_22,-8,Rain,14.5,74.0,21.0,18.3,No Event,0
80,T00080,2023-01-02 01:00:00,Tram,Station_14,Station_45,5,Clear,21.4,48.0,30.0,1.1497525502109867,No Event,0
81,T00081,2023-01-02 01:15:00,Metro,Station_35,Station_7,1,Storm,20.3,97.0,76.0,32.9,No Event,0
82,T00082,2023-01-02 01:30:00,Bus,Station_44,Station_17,19,Rain,20.0,79.0,33.0,8.7,Sports,0
83,T00083,2023-01-02 01:45:00,Metro,Station_41,Station_2,18,Cloudy,22.6,54.0,23.0,10.831019589930674,Sports,0
84,T00084,2023-01-02 02:00:00,Tram,Station_7,Station_12,8,Cloudy,-0.40000000000000036,67.0,59.0,1.1109349956452248,No Event,0
85,T00085,2023-01-02 02:15:00,Tram,Station_41,Station_42,-2,Cloudy,7.5,65.0,8.0,3.1966015231610516,Concert,0
86,T00086,2023-01-02 02:30:00,Train,Station_13,Station_18,0,Fog,20.1,97.0,45.0,-1.1173941908223015,No Event,0
87,T00087,2023-01-02 02:45:00,Bus,Station_18,Station_11,3,Storm,,85.0,87.0,21.0,No Event,0
88,T00088,2023-01-02 03:00:00,Metro,Station_37,Station_16,13,Clear,33.4,68.0,42.0,3.5096076296064687,No Event,0
89,T00089,2023-01-02 03:15:00,Train,Station_13,Station_49,18,Clear,2.5,92.0,1.0,0.9456824645280824,Parade,0
90,T00090,2023-01-02 03:30:00,Metro,Station_36,Station_18,5,Storm,1.0999999999999996,36.0,44.0,42.1,No Event,0
91,T00091,2023-01-02 03:45:00,Metro,Station_31,Station_35,9,Snow,4.899999999999999,81.0,33.0,30.9,No Event,0
92,T00092,2023-01-02 04:00:00,Train,Station_2,Station_26,9,Snow,18.7,82.0,26.0,30.3,Protest,0
93,T00093,2023-01-02 04:15:00,Train,Station_16,Station_16,-1,Fog,32.2,77.0,36.0,11.739281634837468,No Event,0
94,T00094,2023-01-02 04:30:00,Train,Station_9,Station_6,25,Storm,2.4000000000000004,34.0,41.0,19.7,No Event,0
95,T00095,2023-01-02 04:45:00,Train,Station_9,Station_44,12,Snow,-12.3,60.0,21.0,28.9,Festival,0
96,T00096,2023-01-02 05:00:00,Train,Station_38,Station_43,12,Fog,11.9,54.0,3.0,3.9831092233558962,No Event,0
97,T00097,2023-01-02 05:15:00,Metro,Station_11,Station_47,22,Rain,7.800000000000001,74.0,13.0,30.2,Concert,0
98,T00098,2023-01-02 05:30:00,Train,Station_22,Station_47,4,Rain,30.5,48.0,33.0,26.5,Sports,0
99,T00099,2023-01-02 05:45:00,Bus,Station_33,Station_48,-1,Fog,12.2,36.0,22.0,-1.6425406194544725,Sports,0
100,T00100,2023-01-02 06:00:00,Tram,Station_36,Station_42,9,Storm,5.2,87.0,76.0,17.1,Parade,0
101,T00101,2023-01-02 06:15:00,Train,Station_45,Station_12,0,Rain,3.5999999999999996,95.0,41.0,25.8,Protest,0
102,T00102,2023-01-02 06:30:00,Train,Station_23,Station_13,40,Storm,3.9000000000000004,68.0,48.0,29.9,Concert,0
103,T00103,2023-01-02 06:45:00,Metro,Station_45,Station_4,3,Snow,17.9,43.0,0.0,12.2,Festival,0
104,T00104,2023-01-02 07:00:00,Train,Station_45,Station_39,11,Rain,-8.8,30.0,50.0,17.2,Festival,0
105,T00105,2023-01-02 07:15:00,Train,Station_34,Station_2,17,Snow,-4.3,88.0,54.0,21.1,Parade,0
106,T00106,2023-01-02 07:30:00,Train,Station_9,Station_26,33,Storm,30.700000000000003,32.0,64.0,27.7,Sports,0
107,T00107,2023-01-02 07:45:00,Metro,Station_24,Station_27,14,Storm,-2.9,50.0,34.0,20.8,No Event,0
108,T00108,2023-01-02 08:00:00,Train,Station_8,Station_27,13,Cloudy,20.7,59.0,31.0,-1.4973652192468418,Sports,1
109,T00109,2023-01-02 08:15:00,Tram,Station_7,Station_15,4,Fog,9.3,40.0,13.0,-3.143038843079082,No Event,1
110,T00110,2023-01-02 08:30:00,Metro,Station_36,Station_8,1,Clear,18.3,51.0,40.0,1.8429186634796846,No Event,1
111,T00111,2023-01-02 08:45:00,Tram,Station_18,Station_7,13,Fog,-1.0,86.0,20.0,5.193198715353388,No Event,1
112,T00112,2023-01-02 09:00:00,Metro,Station_3,Station_47,28,Storm,2.3,32.0,74.0,24.3,Festival,0
113,T00113,2023-01-02 09:15:00,Train,Station_28,Station_46,8,Storm,11.0,59.0,78.0,35.7,No Event,0
114,T00114,2023-01-02 09:30:00,Tram,Station_6,Station_40,13,Fog,4.3,74.0,57.0,4.855797832250301,Sports,0
115,T00115,2023-01-02 09:45:00,Metro,Station_44,Station_12,6,Storm,11.7,65.0,33.0,28.1,No Event,0
116,T00116,2023-01-02 10:00:00,Bus,Station_44,Station_13,39,Snow,-7.2,87.0,35.0,25.3,No Event,0
117,T00117,2023-01-02 10:15:00,Train,Station_21,Station_43,22,Rain,17.0,83.0,20.0,25.6,No Event,0
118,T00118,2023-01-02 10:30:00,Metro,Station_28,Station_17,10,Storm,23.2,,73.0,38.0,Concert,0
119,T00119,2023-01-02 10:45:00,Bus,Station_40,Station_17,11,Fog,-1.6,79.0,39.0,0.16010869807839834,Festival,0
120,T00120,2023-01-02 11:00:00,Metro,Station_1,Station_36,19,Fog,,60.0,11.0,1.0091583166545863,No Event,0
121,T00121,2023-01-02 11:15:00,Bus,Station_36,Station_21,21,Fog,28.8,58.0,14.0,0.1483477320804849,No Event,0
122,T00122,2023-01-02 11:30:00,Train,Station_21,Station_8,7,Cloudy,16.3,88.0,14.0,3.5113402629026664,Concert,0
123,T00123,2023-01-02 11:45:00,Tram,Station_43,Station_5,21,Snow,-12.9,60.0,16.0,16.3,No Event,0
124,T00124,2023-01-02 12:00:00,Bus,Station_35,Station_26,0,Snow,3.5,90.0,33.0,29.4,No Event,0
125,T00125,2023-01-02 12:15:00,Metro,Station_13,Station_16,17,Cloudy,1.4,40.0,43.0,-3.666351453977045,No Event,0
126,T00126,2023-01-02 12:30:00,Train,Station_49,Station_36,27,Snow,-8.0,34.0,34.0,17.7,Concert,0
127,T00127,2023-01-02 12:45:00,Bus,Station_10,Station_28,32,Cloudy,29.6,55.0,38.0,3.7561388801914877,No Event,0
128,T00128,2023-01-02 13:00:00,Metro,Station_44,Station_29,11,Snow,15.5,77.0,37.0,14.7,No Event,0
129,T00129,2023-01-02 13:15:00,Metro,Station_47,Station_47,15,Cloudy,19.8,43.0,13.0,2.6324661956588153,Parade,0
130,T00130,2023-01-02 13:30:00,Metro,Station_10,Station_12,18,Cloudy,1.5999999999999996,93.0,54.0,3.3808895894322037,Sports,0
131,T00131,2023-01-02 13:45:00,Bus,Station_46,Station_37,20,Snow,-12.3,34.0,58.0,12.0,No Event,0
132,T00132,2023-01-02 14:00:00,Bus,Station_13,Station_30,25,Cloudy,25.8,60.0,4.0,1.0925797831078705,No Event,0
133,T00133,2023-01-02 14:15:00,Bus,Station_37,Station_23,24,Snow,-17.8,59.0,29.0,28.2,No Event,0
134,T00134,2023-01-02 14:30:00,Tram,Station_38,Station_16,15,Cloudy,6.5,39.0,3.0,,No Event,0
135,T00135,2023-01-02 14:45:00,Bus,Station_24,Station_14,18,Fog,6.1,55.0,14.0,3.8180816336662167,No Event,0
136,T00136,2023-01-02 15:00:00,Bus,Station_2,Station_10,15,Clear,17.8,49.0,38.0,2.7902830326222112,No Event,0
137,T00137,2023-01-02 15:15:00,Bus,Station_22,Station_7,22,Snow,-6.0,68.0,34.0,27.1,No Event,0
138,T00138,2023-01-02 15:30:00,Tram,Station_17,Station_45,5,Cloudy,4.4,91.0,44.0,2.331707618748784,Festival,0
139,T00139,2023-01-02 15:45:00,Bus,Station_36,Station_37,30,Fog,,38.0,9.0,4.604633723836171,Festival,0
140,T00140,2023-01-02 16:00:00,Metro,Station_14,Station_29,18,Clear,19.1,53.0,54.0,0.4565048360055586,No Event,0
141,T00141,2023-01-02 16:15:00,Bus,Station_10,Station_3,14,Cloudy,-1.2,41.0,1.0,2.796078387182773,Concert,0
142,T00142,2023-01-02 16:30:00,Metro,Station_35,Station_15,-1,Clear,24.1,89.0,43.0,3.859827220584337,No Event,0
143,T00143,2023-01-02 16:45:00,Metro,Station_25,Station_36,20,Snow,-6.7,42.0,59.0,18.7,Concert,0
144,T00144,2023-01-02 17:00:00,Metro,Station_3,Station_47,1,Clear,12.3,58.0,23.0,1.7572917594282904,No Event,0
145,T00145,2023-01-02 17:15:00,Tram,Station_47,Station_46,-1,Rain,16.9,61.0,27.0,18.1,Festival,0
146,T00146,2023-01-02 17:30:00,Tram,Station_38,Station_19,24,Storm,-0.09999999999999964,64.0,41.0,42.3,Festival,0
147,T00147,2023-01-02 17:45:00,Tram,Station_17,Station_13,6,Rain,5.4,72.0,43.0,,No Event,0
148,T00148,2023-01-02 18:00:00,Bus,Station_12,Station_42,37,Snow,15.399999999999999,77.0,31.0,15.0,Sports,1
149,T00149,2023-01-02 18:15:00,Metro,Station_24,Station_21,28,Snow,21.5,45.0,30.0,24.2,Concert,1
150,T00150,2023-01-02 18:30:00,Tram,Station_29,Station_37,18,Clear,16.2,37.0,18.0,3.75204645044931,No Event,1
151,T00151,2023-01-02 18:45:00,Tram,Station_43,Station_27,15,Fog,-4.6,71.0,50.0,3.42536396797255,Concert,1
152,T00152,2023-01-02 19:00:00,Bus,Station_25,Station_29,27,Cloudy,5.5,99.0,20.0,6.637989414809227,Concert,0
153,T00153,2023-01-02 19:15:00,Tram,Station_36,Station_20,23,Storm,4.9,45.0,26.0,29.4,Festival,0
154,T00154,2023-01-02 19:30:00,Bus,Station_26,Station_25,10,Cloudy,6.6,98.0,5.0,1.8366456155824116,Sports,0
155,T00155,2023-01-02 19:45:00,Train,Station_38,Station_6,-4,Fog,12.5,82.0,31.0,4.317926234547565,No Event,0
156,T00156,2023-01-02 20:00:00,Tram,Station_1,Station_36,12,Snow,9.3,67.0,1.0,14.9,Protest,0
157,T00157,2023-01-02 20:15:00,Train,Station_20,Station_2,20,Storm,-7.2,80.0,52.0,25.6,Parade,0
158,T00158,2023-01-02 20:30:00,Bus,Station_28,Station_22,18,Rain,-1.0999999999999996,35.0,44.0,29.0,No Event,0
159,T00159,2023-01-02 20:45:00,Metro,Station_16,Station_32,21,Snow,4.300000000000001,,58.0,10.8,No Event,0
160,T00160,2023-01-02 21:00:00,Tram,Station_47,Station_16,-3,Snow,-3.4000000000000004,38.0,59.0,28.8,Sports,0
161,T00161,2023-01-02 21:15:00,Bus,Station_17,Station_18,-3,Clear,34.6,43.0,26.0,2.8299214881655943,Parade,0
162,T00162,2023-01-02 21:30:00,Metro,Station_40,Station_5,-12,Fog,12.3,68.0,8.0,1.3863084977106177,No Event,0
163,T00163,2023-01-02 21:45:00,Metro,Station_28,Station_36,10,Clear,29.8,92.0,12.0,-0.24102766197796788,No Event,0
164,T00164,2023-01-02 22:00:00,Train,Station_12,Station_30,4,Clear,30.9,34.0,54.0,1.2136904192994442,No Event,0
165,T00165,2023-01-02 22:15:00,Bus,Station_27,Station_45,13,Cloudy,26.4,81.0,13.0,2.4208736007563014,Sports,0
166,T00166,2023-01-02 22:30:00,Metro,Station_42,Station_19,0,Snow,-16.1,39.0,50.0,27.5,Festival,0
167,T00167,2023-01-02 22:45:00,Tram,Station_47,Station_23,-7,Fog,32.9,67.0,10.0,-0.39578599099101863,No Event,0
168,T00168,2023-01-02 23:00:00,Tram,Station_30,Station_34,-6,Clear,0.1,82.0,13.0,2.8607901662345925,No Event,0
169,T00169,2023-01-02 23:15:00,Train,Station_41,Station_13,8,Rain,-9.6,,15.0,18.8,Festival,0
170,T00170,2023-01-02 23:30:00,Metro,Station_34,Station_43,-5,Storm,8.6,75.0,35.0,21.0,No Event,0
171,T00171,2023-01-02 23:45:00,Bus,Station_37,Station_29,-9,Fog,2.8,44.0,19.0,4.962772960477601,Festival,0
172,T00172,2023-01-03 00:00:00,Tram,Station_6,Station_36,-7,Cloudy,-1.6,88.0,15.0,-1.4451041877979387,No Event,0
173,T00173,2023-01-03 00:15:00,Metro,Station_7,Station_22,6,Fog,6.5,79.0,59.0,1.8974292042619267,No Event,0
174,T00174,2023-01-03 00:30:00,Metro,Station_32,Station_47,14,Snow,-7.1,35.0,57.0,14.9,No Event,0
175,T00175,2023-01-03 00:45:00,Train,Station_32,Station_36,19,Cloudy,20.4,55.0,33.0,1.1724054155784065,Concert,0
176,T00176,2023-01-03 01:00:00,Tram,Station_25,Station_9,27,Storm,-5.5,32.0,71.0,38.2,Festival,0
177,T00177,2023-01-03 01:15:00,Tram,Station_33,Station_39,13,Rain,11.7,76.0,15.0,21.7,Parade,0
178,T00178,2023-01-03 01:30:00,Bus,Station_7,Station_19,-9,Clear,34.5,34.0,13.0,3.0149923125362634,Protest,0
179,T00179,2023-01-03 01:45:00,Tram,Station_12,Station_38,3,Fog,12.3,91.0,52.0,0.6572697430004502,No Event,0
180,T00180,2023-01-03 02:00:00,Bus,Station_16,Station_6,6,Cloudy,18.7,34.0,27.0,7.140965054395811,No Event,0
181,T00181,2023-01-03 02:15:00,Tram,Station_16,Station_47,19,Storm,26.799999999999997,39.0,41.0,23.7,No Event,0
182,T00182,2023-01-03 02:30:00,Train,Station_43,Station_15,9,Clear,0.5,92.0,25.0,-1.8589169102906729,Festival,0
183,T00183,2023-01-03 02:45:00,Tram,Station_36,Station_20,21,Storm,4.699999999999999,54.0,67.0,13.8,No Event,0
184,T00184,2023-01-03 03:00:00,Bus,Station_13,Station_9,35,Rain,26.0,73.0,6.0,13.3,Parade,0
185,T00185,2023-01-03 03:15:00,Bus,Station_7,Station_32,26,Clear,32.3,54.0,44.0,-0.6670144661418809,Parade,0
186,T00186,2023-01-03 03:30:00,Train,Station_36,Station_4,3,Clear,19.0,59.0,33.0,0.6434669808417531,No Event,0
187,T00187,2023-01-03 03:45:00,Tram,Station_47,Station_50,24,Clear,0.7,43.0,46.0,1.2111940433159747,Festival,0
188,T00188,2023-01-03 04:00:00,Tram,Station_9,Station_18,0,Cloudy,29.1,72.0,48.0,3.9648464677536506,Parade,0
189,T00189,2023-01-03 04:15:00,Train,Station_32,Station_5,3,Clear,2.0,57.0,44.0,5.322984319790546,Protest,0
190,T00190,2023-01-03 04:30:00,Tram,Station_11,Station_20,17,Storm,3.0999999999999996,48.0,24.0,29.7,Concert,0
191,T00191,2023-01-03 04:45:00,Tram,Station_8,Station_23,2,Cloudy,7.0,71.0,32.0,3.6944299007199897,Protest,0
192,T00192,2023-01-03 05:00:00,Bus,Station_33,Station_11,12,Clear,,49.0,34.0,4.497415952954369,No Event,0
193,T00193,2023-01-03 05:15:00,Tram,Station_23,Station_37,36,Storm,21.6,40.0,78.0,30.8,Concert,0
194,T00194,2023-01-03 05:30:00,Tram,Station_25,Station_22,8,Storm,16.1,83.0,73.0,21.2,No Event,0
195,T00195,2023-01-03 05:45:00,Train,Station_8,Station_4,13,Fog,23.8,53.0,38.0,7.079602286738904,No Event,0
196,T00196,2023-01-03 06:00:00,Train,Station_45,Station_29,17,Storm,-10.1,99.0,47.0,16.7,Festival,0
197,T00197,2023-01-03 06:15:00,Metro,Station_22,Station_44,25,Snow,6.600000000000001,39.0,,11.4,Concert,0
198,T00198,2023-01-03 06:30:00,Bus,Station_4,Station_34,5,Rain,18.9,57.0,27.0,22.9,No Event,0
199,T00199,2023-01-03 06:45:00,Tram,Station_40,Station_13,-2,Clear,12.8,79.0,31.0,-0.5960164241640888,No Event,0
200,T00200,2023-01-03 07:00:00,Tram,Station_3,Station_42,7,Clear,32.8,84.0,43.0,-0.04321985265902528,Parade,0
201,T00201,2023-01-03 07:15:00,Metro,Station_29,Station_9,-5,Clear,28.0,39.0,15.0,0.2838676355588371,Festival,0
202,T00202,2023-01-03 07:30:00,Tram,Station_41,Station_42,3,Storm,15.5,50.0,79.0,29.5,No Event,0
203,T00203,2023-01-03 07:45:00,Bus,Station_29,Station_31,16,Storm,-8.5,87.0,41.0,13.1,Parade,0
204,T00204,2023-01-03 08:00:00,Metro,Station_34,Station_7,-4,Clear,21.1,63.0,22.0,1.3867722104106697,No Event,1
205,T00205,2023-01-03 08:15:00,Bus,Station_34,Station_4,7,Snow,20.5,67.0,47.0,27.6,Concert,1
206,T00206,2023-01-03 08:30:00,Metro,Station_28,Station_19,1,Cloudy,7.199999999999999,40.0,51.0,1.2630468836517754,Sports,1
207,T00207,2023-01-03 08:45:00,Metro,Station_13,Station_42,6,Cloudy,25.5,62.0,49.0,-1.4500896141051824,Festival,1
208,T00208,2023-01-03 09:00:00,Train,Station_15,Station_30,24,Rain,0.5,87.0,14.0,26.0,Festival,0
209,T00209,2023-01-03 09:15:00,Bus,Station_23,Station_31,-4,Fog,17.8,75.0,54.0,3.0638846125051655,No Event,0
210,T00210,2023-01-03 09:30:00,Tram,Station_44,Station_35,11,Rain,15.899999999999999,90.0,42.0,5.8,Concert,0
211,T00211,2023-01-03 09:45:00,Tram,Station_26,Station_21,17,Clear,22.1,91.0,49.0,-2.358405329713581,No Event,0
212,T00212,2023-01-03 10:00:00,Bus,Station_4,Station_31,-1,Clear,30.3,30.0,,-0.9579085523289788,No Event,0
213,T00213,2023-01-03 10:15:00,Tram,Station_26,Station_19,9,Clear,4.4,50.0,32.0,1.0535101339483726,No Event,0
